INFO:root:init eventmgr: F:\Users\xingsikai\GCP-WC
INFO:root:Presence is up.
INFO:root:Created cache manifest: F:\Users\xingsikai\GCP-WC\cache\treadmld.foo#0000000060
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Deleted cache manifest: F:\Users\xingsikai\GCP-WC\cache\treadmld.foo#0000000060
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
INFO:root:Presence is up.
